Date,buy&hold,V2 (original params),V2 (tuned on 2024-26),A voltgt10,A voltgt12,A voltgt15,A voltgt20,V2 + voltgt15 (min of both)
2007-08-22,428862.4132149393,327340.3563382235,279053.38150135905,303236.14321822,330241.96152487904,355856.2480194671,369413.6526683442,279432.0596105413
2007-08-23,428482.2607790331,327253.3079772588,278979.17390974687,303064.7409032918,330033.11153825914,355574.93696084863,369112.3502696597,279357.75131851714
2007-08-24,433775.41280670656,328466.1013663247,280013.06444517366,305452.07312588237,332941.8283356524,359492.22115034034,373307.9104243918,280393.0448532947
2007-08-27,429739.69050086295,327549.3149836523,279231.51601936703,303639.91810490267,330731.8546245561,356509.461511602,370112.15605930274,279610.43585879495
2007-08-28,420293.90703287453,325389.4307750393,277194.7808600021,299384.05832278077,325545.39562247094,349521.0898136128,362626.74381900986,277766.6641354287
2007-08-29,428540.7311661787,327304.82571572385,282633.77621580067,303129.97606578976,330102.6954315867,355637.2583161799,369173.758637604,279401.72911559296
2007-08-30,427400.1472991805,327043.48397386464,281881.5314419065,302582.5359392167,329475.8700226567,354793.11771630036,368269.660039221,279178.6363628177
2007-08-31,431611.1858470014,328010.16079407424,284376.939535472,304159.3303747618,331791.88075144374,357910.586785713,371608.30582505773,280003.8340190756
2007-09-04,435968.6534812454,329003.6199811144,284092.5625959365,305783.45478099555,334181.7252131434,361133.0535006773,375060.3531855642,280851.8942762314
2007-09-05,432196.07955737703,328149.52843048016,281634.22027004615,304383.95399017987,332118.59045863344,358346.14858687494,372074.05268434255,280122.80433523096
2007-09-06,433190.5823759707,328146.3498535123,282282.2734086999,304754.3988903698,332663.82176608476,359081.50918067805,372861.83174780325,280150.39740345214
2007-09-07,427166.42394969735,323582.98749305087,278356.71914891986,302512.87159310875,329363.2790735777,354628.20011310064,368090.7686347023,276675.9876297802
2007-09-10,426347.49049163994,322962.6369222685,277823.0732025029,302206.13044781314,328912.7849942809,354021.88667952665,367441.4523630187,276202.95032481186
